Taxa	Kingdom	Phylum	Class	Order	Family	Genus	Species
5858157a5f3c4bdbc235927eae7ff303	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	UBA3263	UBA3263 sp001689615
129500150cad877075ed12b0c9424282	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Duncaniella	Duncaniella sp001689575
76b219eb7351347070ab7205275b9c02	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Duncaniella	Duncaniella freteri
c130ff4bc4f4b06b3e42f5c64b6ee6a0	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Duncaniella	Duncaniella freteri
a11124bead20d177c53e9a515457c0c0	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Duncaniella	Duncaniella freteri
82b6b13c800633859b139cf0569b4cda	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	NA	NA
cb1abf418422e26cfb437c2a36fa1ee9	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	NA	NA
62ae243ee000954dd16cbb9f968a1789	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	NA	NA
1b7d75fb86963bedb10092b550a0899f	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	NA	NA
759456dbbcad59cfb49ade008456f99e	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	NA	NA
b73e739891aeccb388d0808116068184	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	NA	NA
16f3c9bbbc6096b7f5526bd82bb86d62	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	NA	NA
00edbd1ba8dcda99fa8c48ebbad76bc3	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	NA	NA
e4597f1dce864c29882fa64f616d1a6c	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculum	Muribaculum intestinale
234166274fbb22e38900a26eb84ece58	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	NA	NA
daae43be6cf06991f62a085ba8bff3b6	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-485	CAG-485 sp002362485
fb4f0a79b97d6f24e3040e8145b0a6e7	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-485	CAG-485 sp002362485
ea9c1edfdf60a0a532f516b20689e41b	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-485	CAG-485 sp002362485
02408cd609a6b7f8134da2f8955136ac	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	NA	NA
1eb2548c06727d3c1745e7db394cfd56	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	NA	NA
2ae97aa780e74cb712a0ae2b285ff415	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	NA	NA
350fb0a153502ce2dd4fa0cf051d3fbb	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-485	CAG-485 sp900547755
f80166d86a7f15b69b6ac97505299c3a	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-485	CAG-485 sp002493045
f66d2abe845ef2bc384cc7e2eccd5e24	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-485	CAG-485 sp002493045
b626779bd5dfa945ddc31fd5e5070a19	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-485	CAG-485 sp002493045
37079b17a5ed7c396c357e24c0cf0597	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-485	CAG-485 sp002493045
c1def48b42e159b33dd366fb124ea638	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-485	CAG-485 sp002493045
f74772c312ecf2f0278c402953e04d93	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-485	CAG-485 sp002362485
19bf483357dc32a16002bf4e21221b48	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-485	CAG-485 sp002362485
d7c1b52a8e5ee6f743bc37a531bf6f55	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-485	CAG-485 sp002362485
f93bef19c624876fb0132f2e6b583ca7	d__Bacteria	Bacteroidota	Rhodothermia	Balneolales	Balneolaceae	NA	NA
a13fea4a53c585211593a5587a5801ee	d__Bacteria	Bacteroidota	Rhodothermia	Balneolales	Balneolaceae	NA	NA
4e9a0c10a4238f6fadd0da0100016dcd	d__Bacteria	Bacteroidota	Rhodothermia	Balneolales	Balneolaceae	Rhodohalobacter	Rhodohalobacter barkolensis
90efbf79b027835779101fc55504e842	d__Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Nanosyncoccaceae	Nanosyncoccus	Nanosyncoccus sp003979185
943604f71971b419a2367b530186303f	d__Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Nanosyncoccaceae	Nanosyncoccus	Nanosyncoccus sp003979185
81d3a6950559d5543eb39e4f5b310a31	d__Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Nanosyncoccaceae	Nanosyncoccus	Nanosyncoccus sp003979185
410cd9c6d9dc6fd1871accf2172f8e29	d__Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Nanosyncoccaceae	Nanosyncoccus	Nanosyncoccus sp003979185
c601986784ec5352196d3bc7278277b5	d__Bacteria	Firmicutes_D	Bacilli	RF39	UBA660	UBA3789	NA
9e090db3b7d4ded637a456829a8d227d	d__Bacteria	Firmicutes_D	Bacilli	RF39	UBA660	Faecimonas	NA
b7ed133c0e997839decebae543619e8b	d__Bacteria	Firmicutes_D	Bacilli	RF39	UBA660	RUG12438	RUG12438 sp902801685
ce72009c0c36b5ff547b9a0c89f669ce	d__Bacteria	Firmicutes_D	Bacilli	RF39	UBA660	UBA6985	UBA6985 sp900314465
607a1bcc4baccac25c567bbb74d81cdf	d__Bacteria	Firmicutes_D	Bacilli	Acholeplasmatales	Anaeroplasmataceae	Pelethenecus	NA
35f3ce6a0ee2829e6ccb193be3c4338b	d__Bacteria	Firmicutes_D	Bacilli	Acholeplasmatales	Anaeroplasmataceae	Pelethenecus	NA
7301b4591a50ce57f108dc1db684fd70	d__Bacteria	Firmicutes_D	Bacilli	Izemoplasmatales	Izemoplasmataceae	Izemoplasma_B	Izemoplasma_B sp000755705
a4ff7d5665199a661ed3c3f0ebf06a49	d__Bacteria	Firmicutes_D	Bacilli	Izemoplasmatales	Izemoplasmataceae	NA	NA
85781f76fdd51f1cea0eab36c8b76a12	d__Bacteria	Firmicutes_D	Bacilli	Erysipelotrichales	Erysipelotrichaceae	C-19	NA
715a5706f5ea5356f6c4772dc98d6430	d__Bacteria	Firmicutes_D	Bacilli	Erysipelotrichales	Erysipelotrichaceae	C-19	C-19 sp009917405
97d033725a3fcb0e6b0f9554365d4e0f	d__Bacteria	Firmicutes_D	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Merdibacter	NA
e5c0eecb2edc3211ea66379f84006834	d__Bacteria	Firmicutes_D	Bacilli	Erysipelotrichales	Erysipelotrichaceae	C-19	C-19 sp009917405
25773d17c98ca4f1cbab85bb7a20ee07	d__Bacteria	Firmicutes_D	Bacilli	Erysipelotrichales	Erysipelotrichaceae	C-19	C-19 sp009917405
1485707115ce4b362d3e7c8944c55a4f	d__Bacteria	Firmicutes_D	Bacilli	Erysipelotrichales	Erysipelotrichaceae	C-19	C-19 sp009917405
b0393e75df8338f8224463cb1b34efbd	d__Bacteria	Firmicutes_D	Bacilli	Erysipelotrichales	Erysipelotrichaceae	C-19	C-19 sp009917405
940c5c7f5d291961c87dd25da8580e29	d__Bacteria	Firmicutes_D	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Faecalibaculum	Faecalibaculum rodentium
63b80d3eb582afab83fbeac4b9e71b43	d__Bacteria	Firmicutes_D	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Faecalibaculum	Faecalibaculum rodentium
30fa65ea00595da890dad94494a04490	d__Bacteria	Firmicutes_D	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Faecalibaculum	Faecalibaculum rodentium
da47a7f676f9a37da03e64a99251fd78	d__Bacteria	Firmicutes_D	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Dubosiella	Dubosiella sp000403415
b43299b6f19a4e0e97c61584bf5596a7	d__Bacteria	Firmicutes_D	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Dubosiella	Dubosiella sp000403415
59af3ddca2ed0cf3d3a10a052cac72f1	d__Bacteria	Firmicutes_D	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Dubosiella	Dubosiella sp000403415
a4af9680e23cdd53cf88e4533a27594d	d__Bacteria	Firmicutes_D	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Holdemania	NA
557cdafb4838e314885ddb4c7a177d13	d__Bacteria	Firmicutes_D	Bacilli	Erysipelotrichales	Coprobacillaceae	Erysipelatoclostridium	Clostridium cocleatum
45b76e49b6500d8d245c2f27f6fbb143	d__Bacteria	Firmicutes_D	Bacilli	Erysipelotrichales	Coprobacillaceae	Erysipelatoclostridium	NA
6116fd7dc95407952dfa6a8cad835556	d__Bacteria	Firmicutes_D	Bacilli	Erysipelotrichales	Coprobacillaceae	NA	NA
92d04a8bfcbe9ddcc1bda03897b95251	d__Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae_405341	Conexibacter	NA
975d5aabbcbb53d18b84ee9a8024fcd8	d__Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	NM07-P-09	NM07-P-09 sp004793665
95d6a2a0e7a344010b5fd670677848e1	d__Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	NM07-P-09	NA
06538b77450f85903962437f449fa60a	d__Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Adlercreutzia_404257	Adlercreutzia mucosicola
727992952afbbf55406b97e29855c9c2	d__Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Adlercreutzia_404199	Adlercreutzia muris
5bbc37962b69b4f2cf25bbad864f8406	d__Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	D16-34	D16-34 sp009911635
90341c9ce791289cc32e350b44807ffb	d__Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	QWKK01	NA
af55dfcf7516e6d1d45fa6f16ebc1ca3	d__Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Adlercreutzia_404218	Adlercreutzia caecicola
af5b96431f030adbd446db31ed2256c0	d__Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Adlercreutzia_404257	Adlercreutzia equolifaciens
55b60296bc5a7532030150d24d7c2c61	d__Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	NA	NA
f0a3b85336766433b385b8e5d23182d2	d__Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	NA	NA
b0fff0788c980929fc4bf71e985f57f0	d__Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Enteroscipio	Enteroscipio sp000270285
dc6ae08657c6ddc998f5ae806ab8934f	d__Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	UBA9715	UBA9715 sp902781245
b18037a224663cf99b188ff37ab195d4	d__Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	NA	NA
747afedfeb4b7c0cba3c0cb606c6afc6	d__Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	NA	NA
ed00fb3691748ed4cae9230b19be54c8	d__Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	ZJ304	ZJ304 sp011039075
06127cc96b470ea5c6a92494240202ff	d__Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	ZJ304	ZJ304 sp011039075
383effd264b8c9db0f78e2067355d32e	d__Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	ZJ304	ZJ304 sp011039075
da1ffc7cfb857dfdbeecfe7b8eb2efef	d__Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	ZJ304	ZJ304 sp011039075
0775a8e56bc8da8ef0f0129616be163e	d__Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	UBA9715	UBA9715 sp902788545
9fc9295b222377c7bdb7e4e4db1e5e78	d__Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	NA	NA
ec9562edcf3986f9a56ee377d8ff737c	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017 sp004296775
9580136cc3b703e45cdb2c1fc099598d	d__Bacteria	Actinobacteriota	Acidimicrobiia_402965	UBA5794	UBA5794	SZUA-442	SZUA-442 sp003235475
a9b24370bdb02a8ee91855de7b8b2813	d__Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium_388775	NA
1368aca6d12ec4a9bbf16a2ff67104e1	d__Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Micrococcaceae	Kocuria	Kocuria rosea
f737f14e10779f3080a792044af733af	d__Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Demequinaceae	Demequina	NA
b664aba9c5e0e5cc58a311f8ff3d8b0c	d__Bacteria	NA	NA	NA	NA	NA	NA
11401ee29264e6f60b65371a2601cd07	d__Bacteria	Firmicutes_B_370539	Peptococcia	Peptococcales	Peptococcaceae_369362	Peptococcus	Peptococcus niger
208a08b90e13b04d2ef2f584535a2d39	d__Bacteria	Deferribacterota	Deferribacteres	Deferribacterales	Mucispirillaceae	Mucispirillum	Mucispirillum schaedleri
fcd3426019893abe8788eea702b5916a	d__Bacteria	Gemmatimonadota	Gemmatimonadetes	Longimicrobiales	UBA6960	GCA-2718595	GCA-2718595 sp002718595
764e61dbb4db4acb21e18439aaa4b323	d__Bacteria	Proteobacteria	Gammaproteobacteria	Thiomicrospirales	Thiomicrospiraceae	Thiomicrospira	NA
0612d61c62f82d56a84f7c4c2900f416	d__Bacteria	Proteobacteria	Gammaproteobacteria	Thiomicrospirales	Thiomicrospiraceae	Thiomicrospira	NA
7b28c20e72c6c95b3e604f0849245770	d__Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	Akkermansia muciniphila_D_776786
1dacfff5549a7d2494f6a935ea1fb7e8	d__Bacteria	Desulfobacterota_I	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio_R_446353	Desulfovibrio_R_446353 trichonymphae
39bb8bfbc4b219fcaa13499fc4bd4bab	d__Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Sulfurimonadaceae	Sulfurimonas	Sulfurimonas sp002733945
92da3aeb57223540532b125809324895	d__Bacteria	Desulfobacterota_I	Desulfobulbia	Desulfobulbales	Desulfurivibrionaceae	Desulfurivibrio	NA
0ffb814cca88340920e951ccac3e8c5c	d__Bacteria	Desulfobacterota_I	Desulfobulbia	Desulfobulbales	Desulfurivibrionaceae	Desulfurivibrio	NA
2c545231aacaf1d8c6b3f8f8930d4363	d__Bacteria	Desulfobacterota_I	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Bilophila	Bilophila wadsworthia
a7b2ebeb585c5a9437a670f13d3234db	d__Bacteria	Desulfobacterota_I	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Mailhella	Mailhella massiliensis
889876008cc11059ae62f03a56db6cba	d__Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales_616050	Wenzhouxiangellaceae	Wenzhouxiangella	Wenzhouxiangella marina
